               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.023224,             0.01405,          0.00014599,              0.6772,             0.58264,             0.57573,             0.28877,             0.04466,            0.021991,          0.00035356,            0.007294,            0.007294,            0.007294
                  84,            0.023881,            0.014034,          0.00014357,             0.64239,              0.5947,             0.57191,             0.28609,            0.043982,            0.022093,          0.00041902,            0.007261,            0.007261,            0.007261
                  85,            0.024757,            0.014653,          0.00014912,             0.65169,             0.60042,             0.56802,              0.2751,            0.044382,            0.022034,          0.00037522,            0.007228,            0.007228,            0.007228
                  86,            0.022966,            0.013924,          0.00014537,             0.64487,             0.60588,             0.56765,             0.28332,            0.044572,            0.021944,          0.00034757,            0.007195,            0.007195,            0.007195
                  87,            0.023407,            0.013682,          0.00013235,             0.70226,             0.57311,             0.58064,              0.2848,            0.045082,            0.021857,          0.00031421,            0.007162,            0.007162,            0.007162
                  88,            0.023031,            0.013565,          0.00013887,             0.68455,             0.57073,             0.57755,             0.29029,            0.044633,            0.022413,          0.00050846,            0.007129,            0.007129,            0.007129
                  89,             0.02294,            0.013831,          0.00012233,             0.66316,              0.6055,             0.58171,              0.2791,            0.045288,            0.021623,          0.00067283,            0.007096,            0.007096,            0.007096
                  90,            0.022611,            0.013609,           0.0001329,             0.70219,             0.58587,             0.59093,             0.29427,            0.045588,            0.021989,           0.0005708,            0.007063,            0.007063,            0.007063
                  91,            0.022348,             0.01375,           0.0001298,             0.69241,             0.58194,              0.5769,             0.28305,            0.044717,            0.021631,          0.00039941,             0.00703,             0.00703,             0.00703
                  92,            0.022511,            0.013464,          0.00016179,             0.69914,             0.58881,             0.59574,             0.28727,            0.044686,            0.021611,          0.00031568,            0.006997,            0.006997,            0.006997
                  93,            0.021886,            0.013588,          0.00014442,             0.65284,             0.61454,              0.5777,             0.27532,              0.0447,            0.022471,           0.0003634,            0.006964,            0.006964,            0.006964
                  94,            0.022617,            0.013571,          0.00012379,             0.63261,             0.61629,             0.57703,              0.2822,            0.044512,            0.022072,           0.0003618,            0.006931,            0.006931,            0.006931
                  95,            0.022011,             0.01317,          0.00012621,             0.69605,             0.60228,             0.58255,             0.28003,            0.045157,            0.021642,          0.00038142,            0.006898,            0.006898,            0.006898
                  96,            0.021769,            0.012946,          0.00013466,             0.72141,             0.57409,             0.59986,             0.29529,            0.045219,            0.022199,          0.00044044,            0.006865,            0.006865,            0.006865
                  97,            0.022321,            0.013557,          0.00013478,             0.69056,             0.58979,             0.58772,             0.29019,            0.045161,            0.022133,            0.000378,            0.006832,            0.006832,            0.006832
                  98,            0.021539,            0.013401,          0.00011626,             0.71028,             0.57507,             0.56562,             0.27491,            0.045296,            0.022355,          0.00040562,            0.006799,            0.006799,            0.006799
                  99,            0.021594,            0.013301,          0.00011397,             0.69712,             0.59403,             0.58176,             0.28599,            0.045835,            0.023026,          0.00049312,            0.006766,            0.006766,            0.006766
                 100,            0.021807,            0.013063,          0.00012961,             0.66235,             0.59764,             0.56968,             0.27869,             0.04514,            0.022735,          0.00047819,            0.006733,            0.006733,            0.006733
                 101,            0.021271,            0.013024,          0.00012905,             0.70992,              0.5692,             0.56579,             0.27461,            0.045021,            0.023202,          0.00049004,              0.0067,              0.0067,              0.0067
                 102,            0.021148,            0.012918,          0.00013635,             0.68272,             0.57605,              0.5669,             0.27894,             0.04475,            0.022946,          0.00041329,            0.006667,            0.006667,            0.006667
                 103,            0.021528,            0.013556,          0.00013038,              0.6613,             0.57802,             0.58148,             0.28893,            0.045384,            0.023259,          0.00046768,            0.006634,            0.006634,            0.006634
                 104,            0.021264,            0.013099,          0.00011504,             0.63358,             0.59274,             0.57189,             0.28739,            0.045484,            0.022449,          0.00037564,            0.006601,            0.006601,            0.006601
                 105,            0.021173,             0.01313,          0.00012758,             0.67431,             0.60549,             0.58677,             0.28524,            0.045255,            0.022434,          0.00045392,            0.006568,            0.006568,            0.006568
                 106,            0.020438,            0.012128,          0.00012121,             0.68224,             0.56428,             0.57955,             0.28639,            0.045318,            0.023455,          0.00046517,            0.006535,            0.006535,            0.006535
                 107,            0.020717,            0.012743,          0.00012761,             0.64595,             0.59274,             0.58069,             0.28352,            0.044832,            0.022959,          0.00057315,            0.006502,            0.006502,            0.006502
                 108,            0.020797,            0.012655,          0.00012154,             0.69739,             0.57998,             0.58251,             0.29235,            0.045024,            0.023182,           0.0005746,            0.006469,            0.006469,            0.006469
                 109,            0.020724,            0.013059,          0.00012756,             0.67944,             0.58783,             0.57613,             0.28051,              0.0452,            0.022979,          0.00053665,            0.006436,            0.006436,            0.006436
                 110,            0.020456,            0.013015,          0.00012357,             0.66431,              0.6001,             0.57762,             0.28404,            0.045729,             0.02232,          0.00043801,            0.006403,            0.006403,            0.006403
                 111,            0.020337,            0.012416,          0.00012042,             0.68183,             0.57203,             0.57098,               0.281,            0.045556,            0.023176,          0.00039952,             0.00637,             0.00637,             0.00637
                 112,            0.020572,             0.01274,           0.0001245,              0.6762,             0.58194,             0.57023,             0.28141,            0.045477,            0.022821,          0.00047105,            0.006337,            0.006337,            0.006337
                 113,            0.019952,            0.012267,          0.00011869,             0.65266,             0.60451,              0.5674,             0.28077,            0.045619,            0.023802,          0.00053382,            0.006304,            0.006304,            0.006304
                 114,            0.020443,            0.012672,          0.00011664,             0.70419,             0.56232,             0.56545,             0.27518,            0.045329,            0.023332,          0.00054562,            0.006271,            0.006271,            0.006271
                 115,            0.019783,            0.012327,          0.00013551,             0.67099,             0.59274,             0.57166,             0.28184,             0.04645,             0.02337,          0.00063862,            0.006238,            0.006238,            0.006238
                 116,            0.020058,            0.012588,          0.00013169,             0.69693,             0.58489,             0.57245,             0.28316,            0.046059,            0.022544,          0.00055748,            0.006205,            0.006205,            0.006205
                 117,            0.020024,            0.012316,          0.00011797,              0.6605,             0.59274,             0.55969,             0.27687,             0.04583,            0.023491,           0.0005768,            0.006172,            0.006172,            0.006172
                 118,            0.019511,             0.01226,          0.00012839,              0.6526,             0.60255,             0.57187,             0.27421,            0.046098,            0.023282,          0.00054853,            0.006139,            0.006139,            0.006139
                 119,            0.019954,            0.012215,          0.00011453,             0.67577,             0.60942,             0.56591,             0.27529,            0.045936,            0.023408,          0.00057267,            0.006106,            0.006106,            0.006106
                 120,            0.019862,            0.012288,          0.00012364,             0.63179,             0.60353,             0.57798,             0.28077,              0.0462,            0.023145,          0.00054047,            0.006073,            0.006073,            0.006073
                 121,            0.019766,            0.012264,          0.00011296,             0.67273,             0.60316,             0.59974,             0.29711,            0.045532,            0.023353,          0.00067019,             0.00604,             0.00604,             0.00604
                 122,             0.01869,            0.011882,          0.00010564,             0.65348,             0.59176,             0.56752,             0.28102,            0.045344,            0.023136,          0.00047731,            0.006007,            0.006007,            0.006007
                 123,            0.018902,            0.012145,          0.00011569,             0.69669,             0.57802,             0.57064,             0.28002,            0.045523,            0.023366,          0.00049327,            0.005974,            0.005974,            0.005974
                 124,            0.019418,             0.01188,          0.00011906,             0.69406,             0.57311,             0.57961,               0.287,            0.045586,            0.023534,          0.00058473,            0.005941,            0.005941,            0.005941
                 125,            0.019556,            0.012017,          0.00011959,             0.66129,             0.58821,             0.56794,             0.27474,            0.045778,            0.023582,          0.00051097,            0.005908,            0.005908,            0.005908
                 126,            0.019488,            0.012205,          0.00010663,              0.6581,             0.60255,             0.58301,             0.27545,            0.046379,            0.023214,          0.00046296,            0.005875,            0.005875,            0.005875
                 127,            0.018728,            0.011863,          0.00010386,             0.67985,             0.58489,             0.57373,             0.27415,            0.045621,            0.023429,          0.00044213,            0.005842,            0.005842,            0.005842
                 128,            0.019245,            0.012272,          0.00013219,             0.69547,             0.59838,             0.58091,              0.2781,            0.045251,            0.023359,          0.00048787,            0.005809,            0.005809,            0.005809
                 129,            0.019163,            0.012386,           0.0001046,             0.66013,             0.60451,             0.58126,             0.28156,            0.045562,             0.02356,            0.000498,            0.005776,            0.005776,            0.005776
                 130,             0.01887,            0.011905,          0.00010302,             0.72816,             0.56133,             0.57887,             0.27708,            0.045616,            0.023226,          0.00043235,            0.005743,            0.005743,            0.005743
                 131,            0.019097,            0.012082,          0.00010991,             0.68225,             0.56722,             0.55483,             0.27103,            0.046674,            0.023163,          0.00045475,             0.00571,             0.00571,             0.00571
                 132,            0.018812,            0.011733,          0.00011521,             0.69499,             0.55348,             0.56291,             0.27157,            0.047374,            0.024056,          0.00064053,            0.005677,            0.005677,            0.005677
                 133,            0.018809,            0.011983,          0.00010947,             0.69971,             0.57017,             0.55959,             0.27379,             0.04695,            0.023506,          0.00056377,            0.005644,            0.005644,            0.005644
                 134,            0.018659,            0.011518,           0.0001112,             0.68343,             0.58194,             0.55592,             0.27191,            0.046718,            0.023448,          0.00058854,            0.005611,            0.005611,            0.005611
